name,test_loss (~),test_loss,test_perplexity,lm-eval-avg-acc,lm-eval-avg-acc-std,-,-,-,-,-,I.isotropy,I.max norm,I.avg norm,I.min norm,I.mu norm,I.ratio norm,I.fhs_cos_sim,I.fhs_dot_prod,I.eb_cos_sim,-,O.isotropy,O.max norm,O.avg norm,O.min norm,O.mu norm,O.ratio norm,O.max aligndot,O.avg aligndot,O.min aligndot,O.max aligncos,O.avg aligncos,O.min aligncos,O.centering_ratio,OC.max norm,OC.avg norm,OC.min norm,OC.mu norm,OC.ratio norm,OC.max aligndot,OC.avg aligndot,OC.min aligndot,OC.max aligncos,OC.avg aligncos,OC.min aligncos,OC.centering_ratio,O.fhs_cos_sim,O.fhs_dot_prod,O.eb_cos_sim,O.eb_dot_sim,"O.corr_p(norm, lbp)","O.corr_s(norm, lbp)","O.corr_p(Emu, lbp)","O.corr_s(Emu, lbp)",O.Smin,O.Smax,O.Smin/Smax,O.logits_mean_mean,O.logits_mean_std,O.logits_std_mean,O.logits_std_std,O.logits_mean_absmean,O.logits_mean_absmax,H.mean_logsqZ,time
worC0R-221M-13p1B-100k-bs64-lr30-mucentering-g0e+00-s1,3.050,3.050,21.126,,,-,-,-,-,-,0.264,18.385,14.443,0.931,1.286,0.089,0.0269,0.0000,25.3,-,0.000,20.689,7.985,4.487,0.000,0.000,0.000,0.000,-0.000,0.237,0.007,-0.230,1.000,20.689,7.985,4.487,0.000,0.000,0.000,-0.000,-0.000,0.237,0.007,-0.230,1.000,0.0198,0.2915,22.8,18.6,-0.177,-0.296,0.665,0.655,3.28,892.12,0.37%,0.0000,3.1406,0.0001,0.3809,2.4375,18.0000,358.0,39964.5
worC0R-221M-13p1B-100k-bs64-lr300-mucentering-g0e+00-s1,3.113,3.113,22.484,,,-,-,-,-,-,0.000,168.087,92.136,0.931,15.522,0.168,-0.0746,-0.0000,39.3,-,0.000,112.924,61.297,29.759,0.000,0.000,0.001,0.000,-0.001,0.382,-0.011,-0.425,1.000,112.924,61.297,29.759,0.000,0.000,0.001,-0.000,-0.001,0.382,-0.011,-0.425,1.000,0.0077,0.1291,23.4,21.9,-0.073,-0.179,-0.586,-0.520,19.03,6068.02,0.31%,0.0001,3.1094,0.0001,1.0156,2.4219,18.2500,382.0,39759.7
worC0R-221M-13p1B-100k-bs64-lr3000-mucentering-g0e+00-s1,3.208,3.208,24.719,,,-,-,-,-,-,0.000,1561.665,509.270,0.931,65.962,0.130,-0.3837,-0.0000,45.1,-,0.000,721.419,385.023,191.597,0.000,0.000,0.008,0.000,-0.007,0.160,0.000,-0.145,1.000,721.419,385.023,191.597,0.000,0.000,0.008,-0.000,-0.007,0.160,0.000,-0.145,1.000,0.0234,0.2769,30.1,29.3,0.204,0.096,-0.195,-0.149,124.18,35525.16,0.35%,-0.0001,2.6875,0.0002,0.6172,2.0781,17.1250,348.0,39855.0
worC0Z-221M-13p1B-100k-bs64-lr10-zloss-g1e-04-s1,3.050,3.050,21.108,,,-,-,-,-,-,0.704,6.006,5.020,0.931,0.336,0.067,-0.1191,-15.0723,7.3,-,0.010,8.412,4.865,2.285,4.125,0.848,30.864,17.016,1.646,0.970,0.844,0.121,0.498,6.326,2.712,1.398,0.000,0.000,13.848,0.000,-15.370,0.746,-0.035,-0.841,1.000,-0.0595,-0.6134,16.8,1.1,-0.549,-0.573,-0.597,-0.573,1.99,949.59,0.21%,-15.0625,3.3594,4.3125,0.4062,15.0625,32.5000,19.2,40228.3
worC0Z-221M-13p1B-100k-bs64-lr100-zloss-g1e-04-s1,3.069,3.069,21.516,,,-,-,-,-,-,0.000,65.751,45.436,0.931,4.066,0.089,-0.0359,-16.2169,27.3,-,0.000,58.624,37.277,18.309,29.977,0.804,1528.665,898.608,158.519,0.960,0.802,0.265,0.484,43.665,22.604,12.640,0.000,0.000,630.056,-0.001,-740.090,0.701,-0.018,-0.805,1.000,0.0051,0.3118,27.4,7.9,-0.630,-0.639,-0.710,-0.660,6.46,6835.16,0.09%,-16.2500,3.7500,5.0625,0.7617,16.2500,35.0000,16.5,40234.3
worC0Z-221M-13p1B-100k-bs64-lr1000-zloss-g1e-04-s1,3.173,3.173,23.883,,,-,-,-,-,-,0.000,510.091,245.185,0.931,46.069,0.188,-0.0057,-21.2120,51.5,-,0.000,617.302,427.721,249.412,388.276,0.908,221583.406,150758.703,77150.000,0.970,0.905,0.676,0.332,343.904,187.784,94.862,0.002,0.000,70824.836,0.113,-73608.578,0.650,-0.007,-0.798,1.000,0.0423,18.8251,32.1,-1.0,-0.523,-0.515,-0.548,-0.531,55.95,88228.52,0.06%,-21.2500,9.6250,6.4375,7.4688,21.2500,102.5000,5.0,39826.7
worC0Z-221M-13p1B-100k-bs64-lr3-zloss-g1e-04-s1,3.089,3.089,21.962,,,-,-,-,-,-,0.943,2.021,1.816,0.931,0.056,0.031,-0.2074,-14.0121,12.4,-,0.161,3.763,2.117,0.924,1.881,0.888,6.405,3.537,-0.043,0.989,0.883,-0.022,0.559,2.339,1.057,0.520,0.000,0.000,2.868,0.000,-3.580,0.896,-0.044,-0.885,1.000,-0.0048,-0.0096,11.9,6.3,-0.585,-0.595,-0.638,-0.610,1.50,434.94,0.35%,-14.0000,3.2500,4.2500,0.3750,14.0000,30.0000,26.5,40162.6
worC0Z-221M-13p1B-100k-bs64-lr30-zloss-g1e-04-s1,3.049,3.049,21.092,,,-,-,-,-,-,0.128,18.860,14.458,0.931,1.259,0.087,-0.0978,-16.4138,26.4,-,0.000,22.033,12.903,6.353,10.646,0.825,213.349,113.337,18.866,0.961,0.822,0.257,0.469,16.258,7.500,3.883,0.000,0.000,100.012,-0.000,-94.471,0.738,-0.020,-0.818,1.000,-0.0494,-0.9815,28.3,13.3,-0.578,-0.540,-0.594,-0.493,4.90,2436.03,0.20%,-16.3750,3.9844,4.7812,0.7969,16.5000,37.0000,17.1,39963.4
worC0Z-221M-13p1B-100k-bs64-lr300-zloss-g1e-04-s1,3.091,3.091,21.990,,,-,-,-,-,-,0.000,578.520,121.930,0.931,10.500,0.086,-0.0343,-17.9221,31.3,-,0.000,194.243,117.572,61.112,96.450,0.820,17042.588,9302.572,2881.438,0.937,0.816,0.436,0.454,127.479,69.016,37.773,0.000,0.000,7740.026,0.011,-6421.124,0.710,-0.015,-0.778,1.000,-0.0665,-3.7867,27.6,-1.4,-0.565,-0.532,-0.542,-0.507,13.99,22060.09,0.06%,-18.0000,4.4688,5.5000,1.2812,18.0000,46.7500,9.8,39999.5
worC0Z-221M-13p1B-100k-bs64-lr3000-zloss-g1e-04-s1,3.478,3.478,32.380,,,-,-,-,-,-,0.000,1917.500,534.590,0.931,59.750,0.112,-0.0019,-19.0012,53.0,-,0.000,1455.768,1133.168,586.139,1070.739,0.945,1455213.000,1146482.750,524587.562,0.984,0.944,0.803,0.427,678.248,384.347,189.667,0.004,0.000,308730.250,-0.122,-621895.375,0.549,-0.004,-0.882,1.000,-0.0259,-14.8185,22.4,-0.5,-0.637,-0.605,-0.655,-0.623,49.96,241645.20,0.02%,-19.1250,4.9062,5.2500,2.8750,19.1250,67.5000,9.8,40212.6
